City_ID,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
116,Lewisville,US,83.16,33.0462,-96.9942,broken clouds,Best Western Plus Hotel Lewisville Flower Mound
118,Wewak,PG,82.8,-3.5534,143.6268,moderate rain,In Wewak Boutique Hotel
121,Coruripe,BR,77.34,-10.1256,-36.1756,overcast clouds,Pousada e Hotel Litoral Sul
122,Vila Velha,BR,78.75,-20.3297,-40.2925,clear sky,Hotel Vitória Palace
123,Marzuq,YE,70.5,14.4,46.4667,broken clouds,
124,Pyapon,MM,81.91,16.2833,95.6833,overcast clouds,Aung Naing Thu Motel
128,Kokopo,PG,83.17,-4.352,152.2633,overcast clouds,Kokopo Beach Bungalow Resort
129,Barentu,ER,78.91,15.1139,37.5928,clear sky,
131,Bull Savanna,JM,75.58,17.8868,-77.5902,moderate rain,Big Red's
132,Luba,GQ,80.65,3.4568,8.5547,few clouds,
139,Bambous Virieux,MU,75.22,-20.3428,57.7575,scattered clouds,Casa Tia Villa
145,Kirakira,SB,84.79,-10.4544,161.9205,overcast clouds,SanBiz Lodge
146,Bacolod,PH,80.82,10.6667,122.95,overcast clouds,Planta Hotel & Residences
149,Taoudenni,ML,85.53,22.6783,-3.9836,clear sky,
150,Miraflores,MX,76.03,19.2167,-98.8083,broken clouds,Hotel Mansión
152,Teknaf,BD,77.65,20.8624,92.3058,few clouds,Forestry Guesthouse
155,Ambulu,ID,75.38,-8.345,113.6058,overcast clouds,Hotel Ambulu Jember
159,Dehloran,IR,76.53,32.6941,47.2679,overcast clouds,کافه گیم استورم
162,Nossa Senhora Das Dores,BR,71.47,-10.4917,-37.1933,overcast clouds,ANONIMATUS MOTEL
165,Bambanglipuro,ID,76.89,-7.95,110.2833,broken clouds,Puri Brata
171,Prado,BR,75.87,-17.3411,-39.2208,clear sky,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
172,Sompeta,IN,81.05,18.9333,84.6,scattered clouds,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
174,Balikpapan,ID,77.99,-1.2675,116.8289,few clouds,Swiss-Belhotel Balikpapan
177,Atuona,PF,78.87,-9.8,-139.0333,light rain,Villa Enata
178,Farah,AF,75.52,32.5,62.5,clear sky,
179,Tutoia,BR,77.85,-2.7619,-42.2744,overcast clouds,Pousada Guará's
181,Jacqueville,CI,79.47,5.2052,-4.4146,overcast clouds,Hotel Le Martin Pecheur
183,Kloulklubed,PW,73.9,7.0419,134.2556,heavy intensity rain,Storyboard Beach Resort
185,Behbahan,IR,74.82,30.5959,50.2417,broken clouds,شهرکدامداران ماهشهر
188,Naze,JP,74.32,28.3667,129.4833,broken clouds,Shishime Hotel
189,Jardim,BR,78.46,-21.4803,-56.1381,broken clouds,Estancia Hotel - Jardim MS
191,Bengkulu,ID,77.09,-3.8004,102.2655,moderate rain,Grage Hotel Bengkulu
192,Soyo,AO,75.76,-6.1349,12.3689,moderate rain,Hotel Mpampa
193,Miguelopolis,BR,80.42,-20.1794,-48.0319,clear sky,Las Vegas Motel
196,Enterprise,US,83.32,36.0252,-115.2419,clear sky,Las Vegas Motorcoach Resort
197,Laguna,US,73.94,38.421,-121.4238,clear sky,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
199,Poum,NC,73.47,-20.2333,164.0167,overcast clouds,
200,Mangrol,IN,81.82,21.1167,70.1167,clear sky,Hotel The Royal Honours
201,Mahebourg,MU,75.25,-20.4081,57.7,scattered clouds,Shandrani Beachcomber Resort & Spa
202,Twentynine Palms,US,81.14,34.1356,-116.0542,clear sky,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
205,Ahuimanu,US,85.71,21.4447,-157.8378,few clouds,Paradise Bay Resort
207,Pasni,PK,83.82,25.2631,63.471,clear sky,Kashmiri Hotal
209,Kudahuvadhoo,MV,84.0,2.6708,72.8944,broken clouds,Niyama Private Islands Maldives
210,Veraval,IN,81.77,20.9,70.3667,clear sky,Lords Inn Somnath
211,Porto Novo,BJ,78.62,6.4965,2.6036,broken clouds,Tour Eiffel Hotel Benin
214,Namibe,AO,73.45,-15.1961,12.1522,few clouds,Hotel Chik Chik Namibe
217,Tautira,PF,80.71,-17.7333,-149.15,light rain,Pension Oaoa
221,San,ML,88.39,13.3034,-4.8956,broken clouds,Hôtel Teriya
222,Mount Isa,AU,82.17,-20.7333,139.5,scattered clouds,ibis Styles Mt Isa Verona
225,Puerto Baquerizo Moreno,EC,72.61,-0.9,-89.6,clear sky,Hotel los Algarrobos
227,Faanui,PF,82.08,-16.4833,-151.75,clear sky,Bora-Bora Pearl Beach Resort & Spa
