City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
77,Nemuro,JP,2022-04-28 23:15:39,43.3236,145.575,42.3,60,100,9.66,overcast clouds
78,Hobart,AU,2022-04-28 23:10:50,-42.8794,147.3294,64.27,89,20,4.61,few clouds
79,Zatyshshya,UA,2022-04-28 23:15:39,47.3335,29.8733,47.7,94,100,8.43,light rain
80,Gorele,TR,2022-04-28 23:15:40,41.0308,39.0031,54.25,91,89,5.28,overcast clouds
81,Manta,EC,2022-04-28 23:12:06,-0.95,-80.7333,82.18,78,40,2.3,scattered clouds
82,Kenai,US,2022-04-28 23:15:40,60.5544,-151.2583,50.02,63,0,10.36,clear sky
83,Kabansk,RU,2022-04-28 23:15:41,52.0486,106.6528,33.06,62,68,3.02,broken clouds
84,Dikson,RU,2022-04-28 23:15:41,73.5069,80.5464,6.87,91,73,19.08,broken clouds
85,Hithadhoo,MV,2022-04-28 23:12:04,-0.6,73.0833,84.81,69,81,7.63,broken clouds
86,Vaini,TO,2022-04-28 23:14:57,-21.2,-175.2,82.56,61,40,12.66,scattered clouds
87,Albany,US,2022-04-28 23:12:43,42.6001,-73.9662,50.41,25,15,1.99,few clouds
88,Lahaina,US,2022-04-28 23:15:42,20.8783,-156.6825,89.6,77,30,8.39,scattered clouds
89,Maltahohe,NA,2022-04-28 23:15:42,-24.8333,16.9833,63.82,40,0,9.57,clear sky
90,Bluff,NZ,2022-04-28 23:15:43,-46.6,168.3333,51.08,80,42,7.45,scattered clouds
91,Ponnani,IN,2022-04-28 23:15:43,10.767,75.9252,81.72,83,72,4.56,broken clouds
92,Lebu,CL,2022-04-28 23:15:43,-37.6167,-73.65,51.76,76,5,16.31,clear sky
93,Hambantota,LK,2022-04-28 23:15:44,6.1241,81.1185,80.51,82,99,8.08,overcast clouds
94,Kerman,IR,2022-04-28 23:15:44,30.2832,57.0788,60.66,25,0,6.91,clear sky
95,Praya,CV,2022-04-28 23:15:45,14.9215,-23.5087,70.34,73,20,18.41,few clouds
96,Puerto Ayora,EC,2022-04-28 23:16:45,-0.7393,-90.3518,74.12,80,11,8.84,few clouds
97,Dungarvan,IE,2022-04-28 23:16:45,52.0881,-7.6253,45.55,100,96,1.99,overcast clouds
98,Barrow,US,2022-04-28 23:16:46,71.2906,-156.7887,8.62,78,100,20.71,haze
99,Saskylakh,RU,2022-04-28 23:16:46,71.9167,114.0833,23.38,91,100,11.52,overcast clouds
100,East London,ZA,2022-04-28 23:16:47,-33.0153,27.9116,65.91,47,3,7.52,clear sky
101,Mount Gambier,AU,2022-04-28 23:16:47,-37.8333,140.7667,63.36,74,97,8.75,overcast clouds
102,Santos Reyes Nopala,MX,2022-04-28 23:16:48,16.1092,-97.1561,78.17,66,34,5.23,scattered clouds
103,Nyurba,RU,2022-04-28 23:16:48,63.2842,118.3319,30.0,88,85,3.8,overcast clouds
104,Narsaq,GL,2022-04-28 23:16:48,60.9167,-46.05,48.42,78,100,2.28,overcast clouds
105,Palauig,PH,2022-04-28 23:16:49,15.435,119.9045,83.07,69,100,2.3,overcast clouds
106,Bandarbeyla,SO,2022-04-28 23:16:49,9.4942,50.8122,82.87,78,21,4.74,few clouds
107,Chokurdakh,RU,2022-04-28 23:16:49,70.6333,147.9167,2.91,94,95,3.74,overcast clouds
108,La Asuncion,VE,2022-04-28 23:16:50,11.0333,-63.8628,82.13,89,71,13.8,broken clouds
109,Rocha,UY,2022-04-28 23:16:50,-34.4833,-54.3333,49.39,62,0,7.47,clear sky
110,Sarh,TD,2022-04-28 23:15:05,9.1429,18.3923,79.56,61,30,0.54,scattered clouds
111,Longyearbyen,SJ,2022-04-28 23:16:51,78.2186,15.6401,6.64,61,40,18.41,scattered clouds
112,Guerrero Negro,MX,2022-04-28 23:16:51,27.9769,-114.0611,64.94,60,1,21.99,clear sky
113,Matara,LK,2022-04-28 23:16:52,5.9485,80.5353,79.9,84,100,4.65,overcast clouds
114,Verkhnyaya Inta,RU,2022-04-28 23:16:52,65.9811,60.3094,23.07,76,24,10.29,few clouds
115,Fortuna,US,2022-04-28 23:15:56,40.5982,-124.1573,59.09,62,20,13.8,few clouds
116,Lewisville,US,2022-04-28 23:14:56,33.0462,-96.9942,83.16,58,75,23.02,broken clouds
117,Upernavik,GL,2022-04-28 23:16:53,72.7868,-56.1549,14.85,89,51,4.09,broken clouds
118,Wewak,PG,2022-04-28 23:16:53,-3.5534,143.6268,82.8,72,87,3.71,moderate rain
119,Galdar,ES,2022-04-28 23:16:53,28.147,-15.6502,64.9,76,92,14.16,overcast clouds
120,Xiuyan,CN,2022-04-28 23:13:01,40.2928,123.2744,49.23,47,0,3.98,clear sky
121,Coruripe,BR,2022-04-28 23:16:54,-10.1256,-36.1756,77.34,80,100,9.06,overcast clouds
122,Vila Velha,BR,2022-04-28 23:14:37,-20.3297,-40.2925,78.75,89,0,4.61,clear sky
123,Marzuq,YE,2022-04-28 23:16:54,14.4,46.4667,70.5,59,69,1.61,broken clouds
124,Pyapon,MM,2022-04-28 23:16:55,16.2833,95.6833,81.91,76,97,4.09,overcast clouds
125,Turukhansk,RU,2022-04-28 23:16:55,65.8167,87.9833,33.57,98,100,7.23,light snow
126,Beloha,MG,2022-04-28 23:16:56,-25.1667,45.05,64.36,69,44,9.86,scattered clouds
127,Codrington,AU,2022-04-28 23:16:56,-38.2667,141.9667,65.32,67,90,15.01,moderate rain
128,Kokopo,PG,2022-04-28 23:16:56,-4.352,152.2633,83.17,64,100,2.62,overcast clouds
129,Barentu,ER,2022-04-28 23:16:57,15.1139,37.5928,78.91,42,3,4.43,clear sky
130,Kozan,TR,2022-04-28 23:16:57,37.4552,35.8157,63.14,53,0,2.46,clear sky
131,Bull Savanna,JM,2022-04-28 23:16:58,17.8868,-77.5902,75.58,76,48,6.4,moderate rain
132,Luba,GQ,2022-04-28 23:16:58,3.4568,8.5547,80.65,81,15,6.06,few clouds
133,Provideniya,RU,2022-04-28 23:16:59,64.3833,-173.3,32.36,80,75,18.01,light shower snow
134,Ribeira Grande,PT,2022-04-28 23:16:59,38.5167,-28.7,63.0,94,75,16.11,light rain
135,Tynda,RU,2022-04-28 23:16:59,55.1667,124.7167,31.93,49,10,10.18,clear sky
136,College,US,2022-04-28 23:17:00,64.8569,-147.8028,54.09,40,75,4.61,broken clouds
137,Castro,BR,2022-04-28 23:12:12,-24.7911,-50.0119,63.73,91,62,4.23,broken clouds
138,Tuatapere,NZ,2022-04-28 23:17:00,-46.1333,167.6833,53.6,76,35,3.71,scattered clouds
139,Bambous Virieux,MU,2022-04-28 23:17:01,-20.3428,57.7575,75.22,94,40,3.44,scattered clouds
140,Tono,JP,2022-04-28 23:17:01,39.3167,141.5333,47.23,45,100,3.36,overcast clouds
141,Beringovskiy,RU,2022-04-28 23:18:02,63.05,179.3167,22.75,90,91,13.42,overcast clouds
142,Hasaki,JP,2022-04-28 23:15:16,35.7333,140.8333,61.29,73,90,12.53,overcast clouds
143,Carnarvon,AU,2022-04-28 23:18:02,-24.8667,113.6333,60.87,72,0,12.66,clear sky
144,Biharamulo,TZ,2022-04-28 23:18:03,-2.6319,31.3089,61.57,95,99,2.51,moderate rain
145,Kirakira,SB,2022-04-28 23:18:03,-10.4544,161.9205,84.79,72,100,4.92,overcast clouds
146,Bacolod,PH,2022-04-28 23:18:04,10.6667,122.95,80.82,79,100,4.7,overcast clouds
147,Constitucion,CL,2022-04-28 23:15:05,-35.3333,-72.4167,52.39,66,0,8.93,clear sky
148,Mandalgovi,MN,2022-04-28 23:18:04,45.7625,106.2708,30.6,32,3,15.21,clear sky
149,Taoudenni,ML,2022-04-28 23:18:05,22.6783,-3.9836,85.53,10,0,7.38,clear sky
150,Miraflores,MX,2022-04-28 23:18:05,19.2167,-98.8083,76.03,39,57,6.29,broken clouds
151,Mar Del Plata,AR,2022-04-28 23:13:35,-38.0023,-57.5575,48.87,85,20,11.99,few clouds
152,Teknaf,BD,2022-04-28 23:18:05,20.8624,92.3058,77.65,90,16,2.64,few clouds
