City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
85,Prince Rupert,CA,2022-03-23 01:33:07,54.3161,-130.3201,44.29,81,100,24.16
86,Rochegda,RU,2022-03-23 01:33:08,62.8,43.25,26.87,96,91,7.14
87,Te Anau,NZ,2022-03-23 01:33:08,-45.4167,167.7167,74.08,50,30,3.62
88,Verkhnevilyuysk,RU,2022-03-23 01:33:09,63.4453,120.3167,21.67,89,100,6.24
89,Oranjestad,AW,2022-03-23 01:34:09,12.524,-70.027,78.75,73,20,19.57
90,Leshukonskoye,RU,2022-03-23 01:34:10,64.8989,45.7622,29.05,85,94,9.44
91,Marsh Harbour,BS,2022-03-23 01:34:10,26.5412,-77.0636,73.72,71,38,18.25
92,Zhezkazgan,KZ,2022-03-23 01:33:35,47.8043,67.7144,19.38,93,75,11.18
93,Kirakira,SB,2022-03-23 01:34:10,-10.4544,161.9205,84.83,70,58,7.9
94,Misratah,LY,2022-03-23 01:34:11,32.3754,15.0925,53.74,49,28,9.44
95,Luderitz,NA,2022-03-23 01:34:11,-26.6481,15.1594,63.36,89,0,13.42
96,Mataura,NZ,2022-03-23 01:34:12,-46.1927,168.8643,78.17,42,0,1.86
97,Clyde River,CA,2022-03-23 01:34:12,70.4692,-68.5914,-21.77,76,0,0.0
98,Urumqi,CN,2022-03-23 01:34:12,43.801,87.6005,32.95,87,75,6.71
99,Mwene-Ditu,CD,2022-03-23 01:34:13,-7.0,23.45,64.08,95,100,3.0
100,Upernavik,GL,2022-03-23 01:34:13,72.7868,-56.1549,-6.12,89,100,1.39
101,Ponta Do Sol,PT,2022-03-23 01:34:13,32.6667,-17.1,61.05,71,26,12.08
102,Castro,BR,2022-03-23 01:34:14,-24.7911,-50.0119,55.83,94,0,6.87
103,Kununurra,AU,2022-03-23 01:34:14,-15.7667,128.7333,89.58,70,88,12.66
104,Chuy,UY,2022-03-23 01:34:14,-33.6971,-53.4616,66.56,95,99,4.81
105,Manggar,ID,2022-03-23 01:34:15,-2.8833,108.2667,85.21,63,98,2.93
106,Aklavik,CA,2022-03-23 01:34:15,68.2191,-135.0107,-2.74,94,100,14.72
107,Laguna,US,2022-03-23 01:32:20,38.421,-121.4238,84.18,38,0,6.91
108,Esperance,AU,2022-03-23 01:34:16,-33.8667,121.9,66.04,55,100,9.24
109,Arraial Do Cabo,BR,2022-03-23 01:34:16,-22.9661,-42.0278,75.22,69,23,14.36
110,Bluff,NZ,2022-03-23 01:34:17,-46.6,168.3333,65.23,72,31,5.37
111,Cabo San Lucas,MX,2022-03-23 01:30:40,22.8909,-109.9124,74.5,60,0,11.5
112,Husavik,IS,2022-03-23 01:34:17,66.0449,-17.3389,28.78,91,100,13.96
113,Abashiri,JP,2022-03-23 01:34:17,44.0213,144.2697,39.49,56,20,3.44
114,Aktash,RU,2022-03-23 01:34:18,50.3,87.7333,9.16,88,100,1.23
115,Nasirabad,IN,2022-03-23 01:32:15,26.3,74.7333,73.09,16,10,5.5
116,Beringovskiy,RU,2022-03-23 01:31:09,63.05,179.3167,20.73,90,98,9.13
117,Garissa,KE,2022-03-23 01:34:19,-0.4536,39.6401,77.65,81,17,13.42
118,Kapaa,US,2022-03-23 01:34:19,22.0752,-159.319,75.18,83,75,12.66
119,Shingu,JP,2022-03-23 01:34:19,33.7333,135.9833,48.09,84,100,7.74
120,Nome,US,2022-03-23 01:34:20,64.5011,-165.4064,17.17,66,0,5.75
121,Rawson,AR,2022-03-23 01:34:20,-43.3002,-65.1023,64.96,51,58,15.14
122,Ostrovnoy,RU,2022-03-23 01:31:00,68.0531,39.5131,29.5,86,100,22.84
123,Lompoc,US,2022-03-23 01:34:01,34.6391,-120.4579,80.74,49,0,9.22
124,Tuatapere,NZ,2022-03-23 01:34:21,-46.1333,167.6833,74.17,51,62,2.59
125,Tazovskiy,RU,2022-03-23 01:34:21,67.4667,78.7,-4.36,94,100,10.09
126,Aykhal,RU,2022-03-23 01:34:22,66.0,111.5,5.45,92,100,5.59
127,Yumen,CN,2022-03-23 01:34:22,40.2833,97.2,44.65,42,59,7.96
128,Hambantota,LK,2022-03-23 01:34:22,6.1241,81.1185,77.34,100,20,2.3
129,Sobolevo,RU,2022-03-23 01:34:23,54.4299,31.8996,31.95,98,100,4.18
130,Aloleng,PH,2022-03-23 01:34:23,16.1307,119.7824,85.75,68,6,4.92
131,Cape Town,ZA,2022-03-23 01:30:47,-33.9258,18.4232,68.11,82,0,12.66
132,Goderich,CA,2022-03-23 01:34:24,43.7501,-81.7165,41.32,36,100,20.71
133,Guasdualito,VE,2022-03-23 01:34:24,7.2424,-70.7324,82.4,61,40,6.91
134,Sao Filipe,CV,2022-03-23 01:34:24,14.8961,-24.4956,70.18,75,9,12.19
135,Sturgis,US,2022-03-23 01:35:25,41.7992,-85.4192,44.26,98,100,14.97
136,Bac Lieu,VN,2022-03-23 01:35:25,9.285,105.7244,85.82,65,70,10.25
137,Ambon,ID,2022-03-23 01:35:26,-3.6954,128.1814,77.14,94,40,3.44
138,Bambanglipuro,ID,2022-03-23 01:35:26,-7.95,110.2833,84.0,69,60,3.65
139,Newport,GB,2022-03-23 01:35:26,51.5877,-2.9984,50.09,71,4,6.38
140,Banda Aceh,ID,2022-03-23 01:35:27,5.5577,95.3222,82.31,72,98,6.53
141,Garowe,SO,2022-03-23 01:35:27,8.4054,48.4845,69.17,88,7,5.7
142,Vardo,NO,2022-03-23 01:35:28,70.3705,31.1107,30.34,68,100,25.5
143,Deep River,CA,2022-03-23 01:35:28,46.1001,-77.4995,37.15,79,89,3.89
144,Sao Felix Do Xingu,BR,2022-03-23 01:35:28,-6.6447,-51.995,72.64,98,100,1.28
145,Victoria,HK,2022-03-23 01:35:29,22.2855,114.1577,65.95,92,100,1.99
146,Port Lincoln,AU,2022-03-23 01:35:29,-34.7333,135.8667,63.79,63,100,11.68
147,Grafton,US,2022-03-23 01:35:30,42.207,-71.6856,41.63,39,0,10.36
148,Chimbote,PE,2022-03-23 01:35:30,-9.0853,-78.5783,69.58,84,100,8.55
149,Birao,CF,2022-03-23 01:35:30,10.2849,22.7882,74.77,11,82,3.22
150,Kavaratti,IN,2022-03-23 01:35:31,10.5669,72.642,83.23,62,55,6.06
151,Chokurdakh,RU,2022-03-23 01:35:31,70.6333,147.9167,1.36,95,97,6.35
152,Arlit,NE,2022-03-23 01:35:32,18.7369,7.3853,71.69,19,12,7.49
153,Atar,MR,2022-03-23 01:35:32,20.5169,-13.0499,72.72,21,0,11.83
154,Luau,AO,2022-03-23 01:35:32,-10.7073,22.2247,63.54,98,96,3.2
155,Pangnirtung,CA,2022-03-23 01:35:33,66.1451,-65.7125,-13.27,81,13,5.84
156,Mount Isa,AU,2022-03-23 01:31:11,-20.7333,139.5,94.77,28,63,5.75
157,La Asuncion,VE,2022-03-23 01:35:33,11.0333,-63.8628,76.64,82,0,17.85
158,Deputatskiy,RU,2022-03-23 01:35:34,69.3,139.9,1.98,88,92,3.67
159,Grand Gaube,MU,2022-03-23 01:35:34,-20.0064,57.6608,79.2,89,43,1.01
160,Pevek,RU,2022-03-23 01:35:35,69.7008,170.3133,26.98,78,100,22.91
161,Kjopsvik,NO,2022-03-23 01:35:35,68.097,16.3742,40.87,97,100,11.12
